technology,radius_um,all_groups_majority_observed
PSAM,125.0,True
PSAM,130.0,True
PSAM,135.0,True
PSAM,140.0,True
PSAM,145.0,True
PSAM,150.0,True
PSAM,155.0,True
PSAM,160.0,True
PSAM,165.0,True
PSAM,170.0,True
PSAM,175.0,True
PSAM,180.0,True
PSAM,185.0,False
PSAM,190.0,False
PSAM,195.0,False
PSAM,200.0,False
PSAM,205.0,False
PSAM,210.0,False
PSAM,215.0,False
PSAM,220.0,False
PSAM,225.0,False
PSAM,230.0,False
PSAM,235.0,False
PSAM,240.0,False
PSAM,245.0,False
PSAM,250.0,False
PSAM,255.0,False
PSAM,260.0,False
PSAM,265.0,False
PSAM,270.0,False
PSAM,275.0,False
PSAM,280.0,False
PSAM,285.0,False
PSAM,290.0,False
PSAM,295.0,False
PSAM,300.0,False
PSAM,305.0,False
PSAM,310.0,False
PSAM,315.0,False
PSAM,320.0,False
PSAM,325.0,False
PSAM,330.0,False
PSAM,335.0,False
PSAM,340.0,False
PSAM,345.0,False
PSAM,350.0,False
PSAM,355.0,False
PSAM,360.0,False
PSAM,365.0,False
PSAM,370.0,False
PSAM,375.0,False
PSAM,380.0,False
PSAM,385.0,False
PSAM,390.0,False
PSAM,395.0,False
