model_method,converged,term,coef,se,pvalue,ci_low,ci_high
mixedlm,True,Intercept,1679.094631237376,120.31796174257596,2.913431123995374e-44,1443.2757595286591,1914.9135029460929
mixedlm,True,"C(actuator, Treatment(reference='DREADD'))[T.LMO7]",274.9268657788702,175.56426378930485,0.11735764673936873,-69.17276822045687,619.0264997781973
mixedlm,True,"C(actuator, Treatment(reference='DREADD'))[T.PSAM]",-369.7068532765725,166.0372533704879,0.02597067328417081,-695.1338899746804,-44.27981657846453
mixedlm,True,stimulation_binary,-172.84463123737348,142.18413995632724,0.22412234869282266,-451.5204247245773,105.83116224983038
mixedlm,True,"C(actuator, Treatment(reference='DREADD'))[T.LMO7]:stimulation_binary",-320.7780783953436,222.5373947959755,0.14945562600398757,-756.9433574088268,115.38720061813967
mixedlm,True,"C(actuator, Treatment(reference='DREADD'))[T.PSAM]:stimulation_binary",44.91518660990334,197.60618659667654,0.8201932258947678,-342.3858222418842,432.2161954616909
mixedlm,True,Group Var,0.31475289209010554,0.3076169800333656,0.30621452519286874,-0.2881653098082679,0.9176710939884789
