actuator,model_method,converged,n_neurons,n_experiments,mean_auc_vehicle,mean_auc_stimulated,delta_stim_minus_vehicle,coef_stimulation,se_stimulation,pvalue_stimulation,ci_low_stimulation,ci_high_stimulation
DREADD,mixedlm,True,21,12,1681.388888888889,1506.25,-175.1388888888889,-173.0972350511049,135.76949589007825,0.2023323726347127,-439.2005571948172,93.00608709260737
LMO7,mixedlm,True,15,10,1957.1875,1471.0714285714287,-486.11607142857133,-486.11607188338655,188.2617986774974,0.00981931430209837,-855.1024169560119,-117.12972681076127
PSAM,mixedlm,True,22,12,1308.5,1181.4583333333333,-127.04166666666674,-128.58469458279143,127.81779856208496,0.3144156105975927,-379.10297634767346,121.9335871820906
