neuron_id,experiment_id,actuator,condition_vehicle_vs_stim,ligand,condition,source_condition,replicate,sample_id
LMO7/hCTZ__r6__sNA,LMO7_rep6,LMO7,Stimulated,hCTZ,LMO7_hCTZ,LMO7/hCTZ,6,
LMO7/hCTZ__r7__sNA,LMO7_rep7,LMO7,Stimulated,hCTZ,LMO7_hCTZ,LMO7/hCTZ,7,
LMO7/hCTZ__r8__sNA,LMO7_rep8,LMO7,Stimulated,hCTZ,LMO7_hCTZ,LMO7/hCTZ,8,
LMO7/hCTZ__r9__sNA,LMO7_rep9,LMO7,Stimulated,hCTZ,LMO7_hCTZ,LMO7/hCTZ,9,
CNO__r1__sNA,NoActuator_rep1,NoActuator,Stimulated,CNO,None_CNO,CNO,1,
CNO__r2__sNA,NoActuator_rep2,NoActuator,Stimulated,CNO,None_CNO,CNO,2,
CNO__r3__sNA,NoActuator_rep3,NoActuator,Stimulated,CNO,None_CNO,CNO,3,
CNO__r4__sNA,NoActuator_rep4,NoActuator,Stimulated,CNO,None_CNO,CNO,4,
CNO__r5__sNA,NoActuator_rep5,NoActuator,Stimulated,CNO,None_CNO,CNO,5,
CNO__r6__sNA,NoActuator_rep6,NoActuator,Stimulated,CNO,None_CNO,CNO,6,
CNO__r7__sNA,NoActuator_rep7,NoActuator,Stimulated,CNO,None_CNO,CNO,7,
CNO__r8__sNA,NoActuator_rep8,NoActuator,Stimulated,CNO,None_CNO,CNO,8,
CNO__r9__sNA,NoActuator_rep9,NoActuator,Stimulated,CNO,None_CNO,CNO,9,
CNO__r10__sNA,NoActuator_rep10,NoActuator,Stimulated,CNO,None_CNO,CNO,10,
CNO__r11__sNA,NoActuator_rep11,NoActuator,Stimulated,CNO,None_CNO,CNO,11,
MEDIA__r1__sNA,NoActuator_rep1,NoActuator,Vehicle,none,None_Vehicle,MEDIA,1,
MEDIA__r2__sNA,NoActuator_rep2,NoActuator,Vehicle,none,None_Vehicle,MEDIA,2,
MEDIA__r3__sNA,NoActuator_rep3,NoActuator,Vehicle,none,None_Vehicle,MEDIA,3,
MEDIA__r4__sNA,NoActuator_rep4,NoActuator,Vehicle,none,None_Vehicle,MEDIA,4,
MEDIA__r5__sNA,NoActuator_rep5,NoActuator,Vehicle,none,None_Vehicle,MEDIA,5,
MEDIA__r6__sNA,NoActuator_rep6,NoActuator,Vehicle,none,None_Vehicle,MEDIA,6,
MEDIA__r7__sNA,NoActuator_rep7,NoActuator,Vehicle,none,None_Vehicle,MEDIA,7,
MEDIA__r8__sNA,NoActuator_rep8,NoActuator,Vehicle,none,None_Vehicle,MEDIA,8,
MEDIA__r9__sNA,NoActuator_rep9,NoActuator,Vehicle,none,None_Vehicle,MEDIA,9,
MEDIA__r10__sNA,NoActuator_rep10,NoActuator,Vehicle,none,None_Vehicle,MEDIA,10,
MEDIA__r11__sNA,NoActuator_rep11,NoActuator,Vehicle,none,None_Vehicle,MEDIA,11,
hCTZ__r1__sNA,NoActuator_rep1,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,1,
hCTZ__r2__sNA,NoActuator_rep2,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,2,
hCTZ__r3__sNA,NoActuator_rep3,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,3,
hCTZ__r4__sNA,NoActuator_rep4,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,4,
hCTZ__r5__sNA,NoActuator_rep5,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,5,
hCTZ__r6__sNA,NoActuator_rep6,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,6,
hCTZ__r7__sNA,NoActuator_rep7,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,7,
hCTZ__r8__sNA,NoActuator_rep8,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,8,
hCTZ__r9__sNA,NoActuator_rep9,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,9,
hCTZ__r10__sNA,NoActuator_rep10,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,10,
hCTZ__r11__sNA,NoActuator_rep11,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,11,
hCTZ__r12__sNA,NoActuator_rep12,NoActuator,Stimulated,hCTZ,None_hCTZ,hCTZ,12,
uPSEM__r1__sNA,NoActuator_rep1,NoActuator,Stimulated,uPSEM,None_uPSEM,uPSEM,1,
uPSEM__r2__sNA,NoActuator_rep2,NoActuator,Stimulated,uPSEM,None_uPSEM,uPSEM,2,
uPSEM__r3__sNA,NoActuator_rep3,NoActuator,Stimulated,uPSEM,None_uPSEM,uPSEM,3,
uPSEM__r4__sNA,NoActuator_rep4,NoActuator,Stimulated,uPSEM,None_uPSEM,uPSEM,4,
uPSEM__r5__sNA,NoActuator_rep5,NoActuator,Stimulated,uPSEM,None_uPSEM,uPSEM,5,
uPSEM__r6__sNA,NoActuator_rep6,NoActuator,Stimulated,uPSEM,None_uPSEM,uPSEM,6,
uPSEM__r7__sNA,NoActuator_rep7,NoActuator,Stimulated,uPSEM,None_uPSEM,uPSEM,7,
uPSEM__r8__sNA,NoActuator_rep8,NoActuator,Stimulated,uPSEM,None_uPSEM,uPSEM,8,
uPSEM__r9__sNA,NoActuator_rep9,NoActuator,Stimulated,uPSEM,None_uPSEM,uPSEM,9,
PSAM__r1__sNA,PSAM_rep1,PSAM,Vehicle,none,PSAM_Vehicle,PSAM,1,
PSAM__r2__sNA,PSAM_rep2,PSAM,Vehicle,none,PSAM_Vehicle,PSAM,2,
PSAM__r3__sNA,PSAM_rep3,PSAM,Vehicle,none,PSAM_Vehicle,PSAM,3,
PSAM__r4__sNA,PSAM_rep4,PSAM,Vehicle,none,PSAM_Vehicle,PSAM,4,
PSAM__r5__sNA,PSAM_rep5,PSAM,Vehicle,none,PSAM_Vehicle,PSAM,5,
PSAM__r6__sNA,PSAM_rep6,PSAM,Vehicle,none,PSAM_Vehicle,PSAM,6,
PSAM__r7__sNA,PSAM_rep7,PSAM,Vehicle,none,PSAM_Vehicle,PSAM,7,
PSAM__r8__sNA,PSAM_rep8,PSAM,Vehicle,none,PSAM_Vehicle,PSAM,8,
PSAM__r9__sNA,PSAM_rep9,PSAM,Vehicle,none,PSAM_Vehicle,PSAM,9,
PSAM__r10__sNA,PSAM_rep10,PSAM,Vehicle,none,PSAM_Vehicle,PSAM,10,
PSAM/uPSEM__r1__sNA,PSAM_rep1,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,1,
PSAM/uPSEM__r2__sNA,PSAM_rep2,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,2,
PSAM/uPSEM__r3__sNA,PSAM_rep3,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,3,
PSAM/uPSEM__r4__sNA,PSAM_rep4,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,4,
PSAM/uPSEM__r5__sNA,PSAM_rep5,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,5,
PSAM/uPSEM__r6__sNA,PSAM_rep6,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,6,
PSAM/uPSEM__r7__sNA,PSAM_rep7,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,7,
PSAM/uPSEM__r8__sNA,PSAM_rep8,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,8,
PSAM/uPSEM__r9__sNA,PSAM_rep9,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,9,
PSAM/uPSEM__r10__sNA,PSAM_rep10,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,10,
PSAM/uPSEM__r11__sNA,PSAM_rep11,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,11,
PSAM/uPSEM__r12__sNA,PSAM_rep12,PSAM,Stimulated,uPSEM,PSAM_uPSEM,PSAM/uPSEM,12,
