major_group,control_condition,treatment_condition,n_control,n_treatment,mean_rank_control,mean_rank_treatment,mean_rank_difference_treatment_minus_control,dunn_z_statistic,dunn_pvalue_unadjusted,dunn_pvalue_holm_adjusted,dunn_pvalue_bonferroni_adjusted
Group I: treatment condition vs pooled EYFP,Pooled_EYFP_Control,DREADD_CNO,23,12,33.26086956521739,31.166666666666668,-2.094202898550723,-0.3605835236097805,0.7184108080871389,0.7184108080871389,1.0
Group I: treatment condition vs pooled EYFP,Pooled_EYFP_Control,LMO7_hCTZ,23,9,33.26086956521739,26.333333333333332,-6.9275362318840585,-1.080327901119707,0.2799961893686824,0.5599923787373648,0.8399885681060473
Group I: treatment condition vs pooled EYFP,Pooled_EYFP_Control,PSAM_uPSEM,23,12,33.26086956521739,18.333333333333332,-14.927536231884059,-2.5702493378413442,0.010162534156881358,0.030487602470644075,0.030487602470644075
Group II: vehicle condition vs pooled EYFP,Pooled_EYFP_Control,DREADD_Vehicle,23,9,27.52173913043478,30.61111111111111,3.0893719806763293,0.5088077350815878,0.6108869970332029,0.9346776696399011,1.0
Group II: vehicle condition vs pooled EYFP,Pooled_EYFP_Control,LMO7_Vehicle,23,11,27.52173913043478,31.636363636363637,4.114624505928855,0.7268157477044666,0.46733883481995053,0.9346776696399011,1.0
Group II: vehicle condition vs pooled EYFP,Pooled_EYFP_Control,PSAM_Vehicle,23,10,27.52173913043478,17.45,-10.071739130434782,-1.7218080528076563,0.08510429535377939,0.2553128860613382,0.2553128860613382
