major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,1,371.1,CONTROL__r1__s371.1,371.1,67,10.0,340.0,1662.5,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,2,371.2,CONTROL__r2__s371.2,371.2,55,10.0,280.0,1440.0,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,3,371.3,CONTROL__r3__s371.3,371.3,62,15.0,320.0,3330.0,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,4,371.4,CONTROL__r4__s371.4,371.4,70,10.0,355.0,2645.0,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,5,371.5,CONTROL__r5__s371.5,371.5,85,10.0,430.0,1710.0,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,6,371.6,CONTROL__r6__s371.6,371.6,107,10.0,540.0,2940.0,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,7,371.7,CONTROL__r7__s371.7,371.7,81,10.0,410.0,2820.0,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,8,371.8,CONTROL__r8__s371.8,371.8,39,10.0,200.0,1397.5,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,9,371.9,CONTROL__r9__s371.9,371.9,61,10.0,310.0,2527.5,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,10,371.1,CONTROL__r10__s371.1,371.1,46,10.0,235.0,1665.0,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,11,371.11,CONTROL__r11__s371.11,371.11,58,10.0,295.0,1085.0,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,12,371.12,CONTROL__r12__s371.12,371.12,47,15.0,245.0,1812.5,EYFP,Vehicle,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,1,,CONTROL/MEDIA__r1__sNA,EYFP_rep1,51,10.0,260.0,1367.5,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,2,,CONTROL/MEDIA__r2__sNA,EYFP_rep2,39,10.0,200.0,640.0,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,3,,CONTROL/MEDIA__r3__sNA,EYFP_rep3,53,15.0,275.0,917.5,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,4,,CONTROL/MEDIA__r4__sNA,EYFP_rep4,49,10.0,250.0,995.0,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,5,,CONTROL/MEDIA__r5__sNA,EYFP_rep5,65,10.0,330.0,1680.0,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,6,,CONTROL/MEDIA__r6__sNA,EYFP_rep6,45,10.0,230.0,907.5,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,7,,CONTROL/MEDIA__r7__sNA,EYFP_rep7,50,15.0,260.0,1447.5,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,8,,CONTROL/MEDIA__r8__sNA,EYFP_rep8,53,10.0,270.0,2022.5,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,9,,CONTROL/MEDIA__r9__sNA,EYFP_rep9,53,10.0,270.0,950.0,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,10,,CONTROL/MEDIA__r10__sNA,EYFP_rep10,59,15.0,305.0,2057.5,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,11,,CONTROL/MEDIA__r11__sNA,EYFP_rep11,61,10.0,310.0,1312.5,EYFP,Stimulated,none,False
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,1,,DREADD/CNO__r1__sNA,DREADD_rep1,53,10.0,270.0,1907.5,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,2,,DREADD/CNO__r2__sNA,DREADD_rep2,46,10.0,235.0,1767.5,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,3,,DREADD/CNO__r3__sNA,DREADD_rep3,48,10.0,245.0,942.5,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,4,,DREADD/CNO__r4__sNA,DREADD_rep4,34,15.0,180.0,1290.0,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,5,,DREADD/CNO__r5__sNA,DREADD_rep5,55,10.0,280.0,1147.5,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,6,,DREADD/CNO__r6__sNA,DREADD_rep6,52,15.0,270.0,2135.0,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,7,,DREADD/CNO__r7__sNA,DREADD_rep7,51,15.0,265.0,1190.0,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,8,,DREADD/CNO__r8__sNA,DREADD_rep8,52,10.0,265.0,1795.0,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,9,,DREADD/CNO__r9__sNA,DREADD_rep9,56,10.0,285.0,1467.5,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,10,,DREADD/CNO__r10__sNA,DREADD_rep10,58,15.0,300.0,1372.5,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,11,,DREADD/CNO__r11__sNA,DREADD_rep11,43,15.0,225.0,1400.0,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),DREADD_CNO,DREADD/CNO,12,,DREADD/CNO__r12__sNA,DREADD_rep12,57,15.0,295.0,1660.0,DREADD,Stimulated,CNO,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,1,,LMO7/hCTZ__r1__sNA,LMO7_rep1,31,10.0,160.0,1242.5,LMO7,Stimulated,hCTZ,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,2,,LMO7/hCTZ__r2__sNA,LMO7_rep2,37,10.0,190.0,1567.5,LMO7,Stimulated,hCTZ,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,3,,LMO7/hCTZ__r3__sNA,LMO7_rep3,18,10.0,95.0,632.5,LMO7,Stimulated,hCTZ,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,4,,LMO7/hCTZ__r4__sNA,LMO7_rep4,50,10.0,255.0,1572.5,LMO7,Stimulated,hCTZ,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,5,,LMO7/hCTZ__r5__sNA,LMO7_rep5,31,5.0,155.0,1412.5,LMO7,Stimulated,hCTZ,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,6,,LMO7/hCTZ__r6__sNA,LMO7_rep6,26,10.0,135.0,1285.0,LMO7,Stimulated,hCTZ,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,7,,LMO7/hCTZ__r7__sNA,LMO7_rep7,46,10.0,235.0,1340.0,LMO7,Stimulated,hCTZ,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,8,,LMO7/hCTZ__r8__sNA,LMO7_rep8,38,10.0,195.0,1590.0,LMO7,Stimulated,hCTZ,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,9,,LMO7/hCTZ__r9__sNA,LMO7_rep9,50,10.0,255.0,1572.5,LMO7,Stimulated,hCTZ,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,1,,PSAM/uPSEM__r1__sNA,PSAM_rep1,51,10.0,260.0,1165.0,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,2,,PSAM/uPSEM__r2__sNA,PSAM_rep2,60,10.0,305.0,1915.0,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,3,,PSAM/uPSEM__r3__sNA,PSAM_rep3,47,15.0,245.0,947.5,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,4,,PSAM/uPSEM__r4__sNA,PSAM_rep4,47,10.0,240.0,972.5,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,5,,PSAM/uPSEM__r5__sNA,PSAM_rep5,35,15.0,185.0,967.5,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,6,,PSAM/uPSEM__r6__sNA,PSAM_rep6,42,10.0,215.0,905.0,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,7,,PSAM/uPSEM__r7__sNA,PSAM_rep7,48,10.0,245.0,842.5,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,8,,PSAM/uPSEM__r8__sNA,PSAM_rep8,48,20.0,255.0,1007.5,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,9,,PSAM/uPSEM__r9__sNA,PSAM_rep9,54,10.0,275.0,2035.0,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,10,,PSAM/uPSEM__r10__sNA,PSAM_rep10,57,10.0,290.0,1020.0,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,11,,PSAM/uPSEM__r11__sNA,PSAM_rep11,53,10.0,270.0,895.0,PSAM,Stimulated,uPSEM,True
Group I: treatment condition vs pooled EYFP,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,12,,PSAM/uPSEM__r12__sNA,PSAM_rep12,74,15.0,380.0,1505.0,PSAM,Stimulated,uPSEM,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,1,371.1,CONTROL__r1__s371.1,371.1,67,10.0,340.0,1662.5,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,2,371.2,CONTROL__r2__s371.2,371.2,55,10.0,280.0,1440.0,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,3,371.3,CONTROL__r3__s371.3,371.3,62,15.0,320.0,3330.0,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,4,371.4,CONTROL__r4__s371.4,371.4,70,10.0,355.0,2645.0,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,5,371.5,CONTROL__r5__s371.5,371.5,85,10.0,430.0,1710.0,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,6,371.6,CONTROL__r6__s371.6,371.6,107,10.0,540.0,2940.0,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,7,371.7,CONTROL__r7__s371.7,371.7,81,10.0,410.0,2820.0,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,8,371.8,CONTROL__r8__s371.8,371.8,39,10.0,200.0,1397.5,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,9,371.9,CONTROL__r9__s371.9,371.9,61,10.0,310.0,2527.5,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,10,371.1,CONTROL__r10__s371.1,371.1,46,10.0,235.0,1665.0,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,11,371.11,CONTROL__r11__s371.11,371.11,58,10.0,295.0,1085.0,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),Pooled_EYFP_Control,CONTROL,12,371.12,CONTROL__r12__s371.12,371.12,47,15.0,245.0,1812.5,EYFP,Vehicle,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,1,,CONTROL/MEDIA__r1__sNA,EYFP_rep1,51,10.0,260.0,1367.5,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,2,,CONTROL/MEDIA__r2__sNA,EYFP_rep2,39,10.0,200.0,640.0,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,3,,CONTROL/MEDIA__r3__sNA,EYFP_rep3,53,15.0,275.0,917.5,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,4,,CONTROL/MEDIA__r4__sNA,EYFP_rep4,49,10.0,250.0,995.0,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,5,,CONTROL/MEDIA__r5__sNA,EYFP_rep5,65,10.0,330.0,1680.0,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,6,,CONTROL/MEDIA__r6__sNA,EYFP_rep6,45,10.0,230.0,907.5,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,7,,CONTROL/MEDIA__r7__sNA,EYFP_rep7,50,15.0,260.0,1447.5,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,8,,CONTROL/MEDIA__r8__sNA,EYFP_rep8,53,10.0,270.0,2022.5,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,9,,CONTROL/MEDIA__r9__sNA,EYFP_rep9,53,10.0,270.0,950.0,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,10,,CONTROL/MEDIA__r10__sNA,EYFP_rep10,59,15.0,305.0,2057.5,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group I (Treatment condition),Pooled_EYFP_Control,CONTROL/MEDIA,11,,CONTROL/MEDIA__r11__sNA,EYFP_rep11,61,10.0,310.0,1312.5,EYFP,Stimulated,none,False
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),DREADD_Vehicle,DREADD,1,,DREADD__r1__sNA,DREADD_rep1,41,15.0,215.0,1487.5,DREADD,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),DREADD_Vehicle,DREADD,2,,DREADD__r2__sNA,DREADD_rep2,59,10.0,300.0,2450.0,DREADD,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),DREADD_Vehicle,DREADD,3,,DREADD__r3__sNA,DREADD_rep3,58,15.0,300.0,1680.0,DREADD,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),DREADD_Vehicle,DREADD,4,,DREADD__r4__sNA,DREADD_rep4,57,15.0,295.0,1905.0,DREADD,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),DREADD_Vehicle,DREADD,5,,DREADD__r5__sNA,DREADD_rep5,54,15.0,280.0,1442.5,DREADD,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),DREADD_Vehicle,DREADD,6,,DREADD__r6__sNA,DREADD_rep6,54,20.0,285.0,1747.5,DREADD,Vehicle,none,True
