major_group,analysis_scale,normalization_control_mean_auc,control_condition,treatment_condition,n_control,n_treatment,mean_auc_control,mean_auc_treatment,mean_difference_treatment_minus_control,dunnett_statistic,dunnett_pvalue_adjusted,ci_low_difference,ci_high_difference
Group I: treatment condition,fold_change_vs_shared_control_mean,1299.7727272727273,EYFP_Control_Media,DREADD_CNO,11,12,1.0,1.158856443434167,0.15885644343416705,1.2607599619614873,0.45545427496697843,-0.14866251244270018,0.4663753993110343
Group I: treatment condition,fold_change_vs_shared_control_mean,1299.7727272727273,EYFP_Control_Media,LMO7_hCTZ,11,9,1.0,1.0441996464028287,0.044199646402828696,0.32578112615360727,0.9768064741209255,-0.286925634365029,0.3753249271706864
Group I: treatment condition,fold_change_vs_shared_control_mean,1299.7727272727273,EYFP_Control_Media,PSAM_uPSEM,11,12,1.0,0.9089730139301745,-0.09102698606982551,-0.7224332675081069,0.8122041473401085,-0.39854594194669274,0.21649196980704172
Group II: vehicle condition,fold_change_vs_shared_control_mean,2086.25,EYFP_Control,DREADD_Vehicle,12,9,1.0000000000000002,0.8059383529725053,-0.19406164702749495,-1.6430955179698903,0.25777236698864625,-0.48397153819051403,0.09584824413552412
Group II: vehicle condition,fold_change_vs_shared_control_mean,2086.25,EYFP_Control,LMO7_Vehicle,12,11,1.0000000000000002,0.8451440710278337,-0.1548559289721665,-1.3850700967291738,0.38971831614024754,-0.4292926461730683,0.1195807882287353
Group II: vehicle condition,fold_change_vs_shared_control_mean,2086.25,EYFP_Control,PSAM_Vehicle,12,10,1.0000000000000002,0.6272019173157579,-0.3727980826842423,-3.250677014201026,0.006790156584161711,-0.6543029968665233,-0.09129316850196129
Group III: ligand/media-only control,fold_change_vs_shared_control_mean,2391.818181818182,None_Vehicle,None_CNO,11,11,0.9999999999999999,0.6499429874572406,-0.35005701254275934,-2.666696944911214,0.02966814536309137,-0.6711666125041785,-0.02894741258134015
Group III: ligand/media-only control,fold_change_vs_shared_control_mean,2391.818181818182,None_Vehicle,None_hCTZ,11,12,0.9999999999999999,0.977028696313189,-0.022971303686810884,-0.17875665835855226,0.9959797219083559,-0.33731994435177126,0.2913773369781495
Group III: ligand/media-only control,fold_change_vs_shared_control_mean,2391.818181818182,None_Vehicle,None_uPSEM,11,9,0.9999999999999999,0.5971747117699227,-0.40282528823007724,-2.9112054961420304,0.01615886174856007,-0.7413045263712775,-0.06434605008887695
