major_group,analysis_scale,control_condition,treatment_condition,n_control,n_treatment,mean_auc_control,mean_auc_treatment,mean_difference_treatment_minus_control,dunnett_statistic,dunnett_pvalue_adjusted,ci_low_difference,ci_high_difference
Group I: treatment condition,raw_auc,EYFP_Control_Media,DREADD_CNO,11,12,1299.7727272727273,1506.25,206.47727272727275,1.2607599619614858,0.4554542749669793,-193.22747924086445,606.18202469541
Group I: treatment condition,raw_auc,EYFP_Control_Media,LMO7_hCTZ,11,9,1299.7727272727273,1357.2222222222222,57.44949494949492,0.3257811261536077,0.9768064741209254,-372.938114303091,487.83710420208087
Group I: treatment condition,raw_auc,EYFP_Control_Media,PSAM_uPSEM,11,12,1299.7727272727273,1181.4583333333333,-118.314393939394,-0.7224332675081089,0.8122041473401074,-518.0191459075312,281.3903580287432
Group II: vehicle condition,raw_auc,EYFP_Control,DREADD_Vehicle,12,9,2086.25,1681.388888888889,-404.8611111111111,-1.6430955179698892,0.2577723669886467,-1009.6856215499597,199.96339932773753
Group II: vehicle condition,raw_auc,EYFP_Control,LMO7_Vehicle,12,11,2086.25,1763.1818181818182,-323.06818181818176,-1.3850700967291714,0.3897183161402489,-895.6117830785631,249.4754194421996
Group II: vehicle condition,raw_auc,EYFP_Control,PSAM_Vehicle,12,10,2086.25,1308.5,-777.75,-3.250677014201024,0.006790156584161711,-1365.0396272127837,-190.46037278721622
Group III: ligand/media-only control,raw_auc,None_Vehicle,None_CNO,11,11,2391.818181818182,1554.5454545454545,-837.2727272727275,-2.6666969449112154,0.02966814536309126,-1605.3085068168127,-69.23694772864224
Group III: ligand/media-only control,raw_auc,None_Vehicle,None_hCTZ,11,12,2391.818181818182,2336.875,-54.94318181818198,-0.17875665835855448,0.9959797219083558,-806.8079759904643,696.9216123541004
Group III: ligand/media-only control,raw_auc,None_Vehicle,None_uPSEM,11,9,2391.818181818182,1428.3333333333333,-963.4848484848487,-2.9112054961420317,0.01615886174856007,-1773.0656444389379,-153.9040525307597
