major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition,normalization_reference,matched_control_reference_raw_auc
Group I: treatment condition,Group I (Treatment condition),EYFP_Control_Media,CONTROL/MEDIA,7,,CONTROL/MEDIA__r7__sNA,EYFP_rep7,50,15.0,260.0,1.1028571428571428,EYFP,Stimulated,none,False,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),EYFP_Control_Media,CONTROL/MEDIA,8,,CONTROL/MEDIA__r8__sNA,EYFP_rep8,53,10.0,270.0,1.5409523809523809,EYFP,Stimulated,none,False,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),EYFP_Control_Media,CONTROL/MEDIA,9,,CONTROL/MEDIA__r9__sNA,EYFP_rep9,53,10.0,270.0,0.7238095238095238,EYFP,Stimulated,none,False,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),EYFP_Control_Media,CONTROL/MEDIA,10,,CONTROL/MEDIA__r10__sNA,EYFP_rep10,59,15.0,305.0,1.5676190476190477,EYFP,Stimulated,none,False,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),EYFP_Control_Media,CONTROL/MEDIA,11,,CONTROL/MEDIA__r11__sNA,EYFP_rep11,61,10.0,310.0,1.0,EYFP,Stimulated,none,False,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,1,,LMO7/hCTZ__r1__sNA,LMO7_rep1,31,10.0,160.0,0.9466666666666667,LMO7,Stimulated,hCTZ,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,2,,LMO7/hCTZ__r2__sNA,LMO7_rep2,37,10.0,190.0,1.1942857142857144,LMO7,Stimulated,hCTZ,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,3,,LMO7/hCTZ__r3__sNA,LMO7_rep3,18,10.0,95.0,0.4819047619047619,LMO7,Stimulated,hCTZ,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,4,,LMO7/hCTZ__r4__sNA,LMO7_rep4,50,10.0,255.0,1.198095238095238,LMO7,Stimulated,hCTZ,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,5,,LMO7/hCTZ__r5__sNA,LMO7_rep5,31,5.0,155.0,1.0761904761904761,LMO7,Stimulated,hCTZ,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,6,,LMO7/hCTZ__r6__sNA,LMO7_rep6,26,10.0,135.0,0.979047619047619,LMO7,Stimulated,hCTZ,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,7,,LMO7/hCTZ__r7__sNA,LMO7_rep7,46,10.0,235.0,1.020952380952381,LMO7,Stimulated,hCTZ,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,8,,LMO7/hCTZ__r8__sNA,LMO7_rep8,38,10.0,195.0,1.2114285714285715,LMO7,Stimulated,hCTZ,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,9,,LMO7/hCTZ__r9__sNA,LMO7_rep9,50,10.0,255.0,1.198095238095238,LMO7,Stimulated,hCTZ,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,1,,PSAM/uPSEM__r1__sNA,PSAM_rep1,51,10.0,260.0,0.8876190476190476,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,2,,PSAM/uPSEM__r2__sNA,PSAM_rep2,60,10.0,305.0,1.4590476190476191,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,3,,PSAM/uPSEM__r3__sNA,PSAM_rep3,47,15.0,245.0,0.7219047619047619,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
