major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition,normalization_reference,matched_control_reference_raw_auc
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,3,,LMO7/hCTZ__r3__sNA,LMO7_rep3,18,10.0,95.0,0.4866235355831439,LMO7,Stimulated,hCTZ,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,4,,LMO7/hCTZ__r4__sNA,LMO7_rep4,50,10.0,255.0,1.209826892813429,LMO7,Stimulated,hCTZ,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,5,,LMO7/hCTZ__r5__sNA,LMO7_rep5,31,5.0,155.0,1.0867284490295506,LMO7,Stimulated,hCTZ,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,6,,LMO7/hCTZ__r6__sNA,LMO7_rep6,26,10.0,135.0,0.9886343766392726,LMO7,Stimulated,hCTZ,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,7,,LMO7/hCTZ__r7__sNA,LMO7_rep7,46,10.0,235.0,1.0309494666899808,LMO7,Stimulated,hCTZ,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,8,,LMO7/hCTZ__r8__sNA,LMO7_rep8,38,10.0,195.0,1.2232907851022907,LMO7,Stimulated,hCTZ,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,9,,LMO7/hCTZ__r9__sNA,LMO7_rep9,50,10.0,255.0,1.209826892813429,LMO7,Stimulated,hCTZ,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,1,,PSAM/uPSEM__r1__sNA,PSAM_rep1,51,10.0,260.0,0.8963105438013639,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,2,,PSAM/uPSEM__r2__sNA,PSAM_rep2,60,10.0,305.0,1.4733344990382935,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,3,,PSAM/uPSEM__r3__sNA,PSAM_rep3,47,15.0,245.0,0.7289735967826543,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,4,,PSAM/uPSEM__r4__sNA,PSAM_rep4,47,10.0,240.0,0.7482077286238853,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,5,,PSAM/uPSEM__r5__sNA,PSAM_rep5,35,15.0,185.0,0.7443609022556391,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,6,,PSAM/uPSEM__r6__sNA,PSAM_rep6,42,10.0,215.0,0.6962755726525617,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,7,,PSAM/uPSEM__r7__sNA,PSAM_rep7,48,10.0,245.0,0.6481902430494841,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,8,,PSAM/uPSEM__r8__sNA,PSAM_rep8,48,20.0,255.0,0.7751355132016087,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,9,,PSAM/uPSEM__r9__sNA,PSAM_rep9,54,10.0,275.0,1.565658331876202,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,10,,PSAM/uPSEM__r10__sNA,PSAM_rep10,57,10.0,290.0,0.7847525791222242,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,11,,PSAM/uPSEM__r11__sNA,PSAM_rep11,53,10.0,270.0,0.6885819199160692,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,12,,PSAM/uPSEM__r12__sNA,PSAM_rep12,74,15.0,380.0,1.1578947368421053,PSAM,Stimulated,uPSEM,True,matched_control_mean,1299.7727272727273
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,1,,DREADD__r1__sNA,DREADD_rep1,41,15.0,215.0,0.7130017974835231,DREADD,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,2,,DREADD__r2__sNA,DREADD_rep2,59,10.0,300.0,1.1743559017375673,DREADD,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,3,,DREADD__r3__sNA,DREADD_rep3,58,15.0,300.0,0.805272618334332,DREADD,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,4,,DREADD__r4__sNA,DREADD_rep4,57,15.0,295.0,0.9131216297183943,DREADD,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,5,,DREADD__r5__sNA,DREADD_rep5,54,15.0,280.0,0.6914319952067106,DREADD,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,6,,DREADD__r6__sNA,DREADD_rep6,54,20.0,285.0,0.8376273217495507,DREADD,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,7,,DREADD__r7__sNA,DREADD_rep7,57,15.0,295.0,0.5536249251048532,DREADD,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,8,,DREADD__r8__sNA,DREADD_rep8,50,10.0,255.0,0.6806470940683044,DREADD,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,9,,DREADD__r9__sNA,DREADD_rep9,59,10.0,300.0,0.8843618933493109,DREADD,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,1,371.1,CONTROL__r1__s371.1,371.1,67,10.0,340.0,0.7968843618933493,EYFP,Vehicle,none,False,matched_control_mean,2086.25
