major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition,normalization_reference,matched_control_reference_raw_auc
Group I: treatment condition,Group I (Treatment condition),EYFP_Control_Media,CONTROL/MEDIA,11,,CONTROL/MEDIA__r11__sNA,EYFP_rep11,61,10.0,310.0,0.767495074048179,EYFP,Stimulated,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,1,,LMO7/hCTZ__r1__sNA,LMO7_rep1,31,10.0,160.0,0.7265620034322761,LMO7,Stimulated,hCTZ,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,2,,LMO7/hCTZ__r2__sNA,LMO7_rep2,37,10.0,190.0,0.9166084027203966,LMO7,Stimulated,hCTZ,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,3,,LMO7/hCTZ__r3__sNA,LMO7_rep3,18,10.0,95.0,0.3698595309222653,LMO7,Stimulated,hCTZ,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,4,,LMO7/hCTZ__r4__sNA,LMO7_rep4,50,10.0,255.0,0.9195321934786753,LMO7,Stimulated,hCTZ,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,5,,LMO7/hCTZ__r5__sNA,LMO7_rep5,31,5.0,155.0,0.8259708892137545,LMO7,Stimulated,hCTZ,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,6,,LMO7/hCTZ__r6__sNA,LMO7_rep6,26,10.0,135.0,0.7514142248776456,LMO7,Stimulated,hCTZ,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,7,,LMO7/hCTZ__r7__sNA,LMO7_rep7,46,10.0,235.0,0.7835759232187123,LMO7,Stimulated,hCTZ,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,8,,LMO7/hCTZ__r8__sNA,LMO7_rep8,38,10.0,195.0,0.9297654611326511,LMO7,Stimulated,hCTZ,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),LMO7_hCTZ,LMO7/hCTZ,9,,LMO7/hCTZ__r9__sNA,LMO7_rep9,50,10.0,255.0,0.9195321934786753,LMO7,Stimulated,hCTZ,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,1,,PSAM/uPSEM__r1__sNA,PSAM_rep1,51,10.0,260.0,0.6812432466789551,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,2,,PSAM/uPSEM__r2__sNA,PSAM_rep2,60,10.0,305.0,1.1198118604207716,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,3,,PSAM/uPSEM__r3__sNA,PSAM_rep3,47,15.0,245.0,0.5540583486938282,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,4,,PSAM/uPSEM__r4__sNA,PSAM_rep4,47,10.0,240.0,0.5686773024852221,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,5,,PSAM/uPSEM__r5__sNA,PSAM_rep5,35,15.0,185.0,0.5657535117269433,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,6,,PSAM/uPSEM__r6__sNA,PSAM_rep6,42,10.0,215.0,0.5292061272484586,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,7,,PSAM/uPSEM__r7__sNA,PSAM_rep7,48,10.0,245.0,0.4926587427699739,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,8,,PSAM/uPSEM__r8__sNA,PSAM_rep8,48,20.0,255.0,0.5891438377931736,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,9,,PSAM/uPSEM__r9__sNA,PSAM_rep9,54,10.0,275.0,1.1899828386194622,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,10,,PSAM/uPSEM__r10__sNA,PSAM_rep10,57,10.0,290.0,0.5964533146888705,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,11,,PSAM/uPSEM__r11__sNA,PSAM_rep11,53,10.0,270.0,0.5233585457319011,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,12,,PSAM/uPSEM__r12__sNA,PSAM_rep12,74,15.0,380.0,0.8800610182419119,PSAM,Stimulated,uPSEM,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,1,,DREADD__r1__sNA,DREADD_rep1,41,15.0,215.0,0.8698277505879362,DREADD,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,2,,DREADD__r2__sNA,DREADD_rep2,59,10.0,300.0,1.4326574715566007,DREADD,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,3,,DREADD__r3__sNA,DREADD_rep3,58,15.0,300.0,0.982393694781669,DREADD,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,4,,DREADD__r4__sNA,DREADD_rep4,57,15.0,295.0,1.1139642789042141,DREADD,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,5,,DREADD__r5__sNA,DREADD_rep5,54,15.0,280.0,0.8435136337634271,DREADD,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,6,,DREADD__r6__sNA,DREADD_rep6,54,20.0,285.0,1.0218648700184325,DREADD,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,7,,DREADD__r7__sNA,DREADD_rep7,57,15.0,295.0,0.6753956651623975,DREADD,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,8,,DREADD__r8__sNA,DREADD_rep8,50,10.0,255.0,0.8303565753511727,DREADD,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,9,,DREADD__r9__sNA,DREADD_rep9,59,10.0,300.0,1.0788787898048686,DREADD,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,1,371.1,CONTROL__r1__s371.1,371.1,67,10.0,340.0,0.9721604271276933,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,2,371.2,CONTROL__r2__s371.2,371.2,55,10.0,280.0,0.8420517383842878,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,3,371.3,CONTROL__r3__s371.3,371.3,62,15.0,320.0,1.9472446450136653,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,4,371.4,CONTROL__r4__s371.4,371.4,70,10.0,355.0,1.546685311129473,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,5,371.5,CONTROL__r5__s371.5,371.5,85,10.0,430.0,0.9999364393313417,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,6,371.6,CONTROL__r6__s371.6,371.6,107,10.0,540.0,1.719188965867921,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,7,371.7,CONTROL__r7__s371.7,371.7,81,10.0,410.0,1.6490179876692301,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,8,371.8,CONTROL__r8__s371.8,371.8,39,10.0,200.0,0.8171995169389181,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,9,371.9,CONTROL__r9__s371.9,371.9,61,10.0,310.0,1.4779762283099218,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,10,371.1,CONTROL__r10__s371.1,371.1,46,10.0,235.0,0.9736223225068327,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,11,371.11,CONTROL__r11__s371.11,371.11,58,10.0,295.0,0.6344625945464946,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,12,371.12,CONTROL__r12__s371.12,371.12,47,15.0,245.0,1.0598741498760567,EYFP,Vehicle,none,False,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,1,353.1,LMO7__r1__s353.1,LMO7_rep1,27,10.0,140.0,0.8932180766541664,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,2,353.4,LMO7__r2__s353.4,LMO7_rep2,49,15.0,255.0,1.2630776075764316,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,3,353.5,LMO7__r3__s353.5,LMO7_rep3,35,10.0,180.0,1.1958304201360197,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,4,353.6,LMO7__r4__s353.6,LMO7_rep4,41,10.0,210.0,0.9677747409902752,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,5,353.7,LMO7__r5__s353.7,LMO7_rep5,49,10.0,250.0,1.7469649780715693,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,6,353.8,LMO7__r6__s353.8,LMO7_rep6,52,15.0,270.0,0.7689569694273184,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,7,353.1,LMO7__r7__s353.1,LMO7_rep7,48,10.0,245.0,0.9414606241657661,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,8,353.11,LMO7__r8__s353.11,LMO7_rep8,34,5.0,170.0,0.9911650670565054,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
