major_group,control_condition,treatment_condition,n_control,n_treatment,mean_rank_control,mean_rank_treatment,mean_rank_difference_treatment_minus_control,dunn_z_statistic,dunn_pvalue_unadjusted,dunn_pvalue_holm_adjusted,dunn_pvalue_bonferroni_adjusted
Group I: treatment condition,EYFP_Control_Media,DREADD_CNO,11,12,21.09090909090909,28.0,6.90909090909091,1.288597504586332,0.19753805141796554,0.5926141542538966,0.5926141542538966
Group I: treatment condition,EYFP_Control_Media,LMO7_hCTZ,11,9,21.09090909090909,24.444444444444443,3.353535353535353,0.580869829667583,0.5613281875740019,0.8543094166698015,1.0
Group I: treatment condition,EYFP_Control_Media,PSAM_uPSEM,11,12,21.09090909090909,16.833333333333332,-4.257575757575758,-0.7940699534841211,0.42715470833490077,0.8543094166698015,1.0
Group II: vehicle condition,EYFP_Control,DREADD_Vehicle,12,9,27.416666666666668,22.444444444444443,-4.972222222222225,-0.9191460192102614,0.35801920149173716,0.7160384029834743,1.0
Group II: vehicle condition,EYFP_Control,LMO7_Vehicle,12,11,27.416666666666668,23.454545454545453,-3.9621212121212146,-0.773717741252278,0.43909772618182785,0.7160384029834743,1.0
Group II: vehicle condition,EYFP_Control,PSAM_Vehicle,12,10,27.416666666666668,11.4,-16.016666666666666,-3.049180754222661,0.002294663729638872,0.006883991188916616,0.006883991188916616
Group III: ligand/media-only control,None_Vehicle,None_CNO,11,11,28.09090909090909,16.454545454545453,-11.636363636363637,-2.173345069491283,0.029754355774786433,0.059508711549572865,0.08926306732435929
Group III: ligand/media-only control,None_Vehicle,None_hCTZ,11,12,28.09090909090909,27.75,-0.34090909090908994,-0.06504167053113664,0.9481408221906025,0.9481408221906025,1.0
Group III: ligand/media-only control,None_Vehicle,None_uPSEM,11,9,28.09090909090909,13.666666666666666,-14.424242424242424,-2.5557929586551125,0.010594613613975323,0.03178384084192597,0.03178384084192597
