sensitivity_rank,n_removed,removed_cell_ids,removed_conditions,control_condition,treatment_condition,n_control,n_treatment,mean_auc_control,mean_auc_treatment,mean_difference_treatment_minus_control,dunnett_statistic,dunnett_pvalue_adjusted,ci_low_difference,ci_high_difference,significant_dunnett_adjusted_alpha
174,4,DREADD/CNO__r11__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,11,9,1299.7727272727273,1357.2222222222222,57.44949494949492,0.35741714798881913,0.9710121925968034,-338.0424421327737,452.94143203176355,False
174,4,DREADD/CNO__r11__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,11,9,1299.7727272727273,1006.9444444444445,-292.8282828282828,-1.8218062628915819,0.1870089545485969,-688.3202199105515,102.66365425398584,False
175,7,DREADD/CNO__r6__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,9,11,1177.2222222222222,1449.090909090909,271.86868686868684,1.898179641697883,0.1602921977791525,-80.76165092321071,624.4990246605844,False
175,7,DREADD/CNO__r6__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,9,7,1177.2222222222222,1336.7857142857142,159.56349206349205,0.9936177425837165,0.6329125477640263,-235.81404273345993,554.941026860444,False
175,7,DREADD/CNO__r6__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,9,10,1177.2222222222222,1022.75,-154.47222222222217,-1.0550435110330285,0.5908967812967267,-514.9494366368549,206.0049921924105,False
176,7,DREADD/CNO__r5__sNA | DREADD/CNO__r10__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,10,10,1334.75,1555.5,220.75,1.3631379537348471,0.40058101942581525,-179.0463395783404,620.5463395783404,False
176,7,DREADD/CNO__r5__sNA | DREADD/CNO__r10__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,10,8,1334.75,1366.25,31.5,0.18338904558416266,0.9957575242476,-392.5480542141063,455.5480542141063,False
176,7,DREADD/CNO__r5__sNA | DREADD/CNO__r10__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,10,9,1334.75,1024.4444444444443,-310.30555555555566,-1.8650397860917547,0.17345629103562743,-721.0572478942993,100.44613678318797,False
177,7,DREADD/CNO__r7__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r3__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,9,11,1288.888888888889,1535.0,246.1111111111111,1.6879163093584828,0.23423883004296853,-112.80952951386126,605.0317517360834,False
177,7,DREADD/CNO__r7__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r3__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,9,9,1288.888888888889,1357.2222222222222,68.33333333333326,0.4468440219736988,0.9435135644164414,-308.10581034503696,444.7724770117035,False
