sensitivity_rank,n_removed,removed_cell_ids,removed_conditions,control_condition,treatment_condition,n_control,n_treatment,mean_auc_control,mean_auc_treatment,mean_difference_treatment_minus_control,dunnett_statistic,dunnett_pvalue_adjusted,ci_low_difference,ci_high_difference,significant_dunnett_adjusted_alpha
164,4,DREADD/CNO__r3__sNA | DREADD/CNO__r4__sNA | DREADD/CNO__r7__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,11,9,1299.7727272727273,1357.2222222222222,57.44949494949492,0.351348588196795,0.9723764635812474,-344.8728964455261,459.77188634451596,False
164,4,DREADD/CNO__r3__sNA | DREADD/CNO__r4__sNA | DREADD/CNO__r7__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,11,11,1299.7727272727273,1103.8636363636363,-195.909090909091,-1.2629476011100202,0.46159894874655394,-577.5856240572892,185.76744223910725,False
165,6,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,7,11,1133.2142857142858,1538.8636363636363,405.6493506493505,2.449615796393511,0.04831863354369936,2.525164183354093,808.7735371153469,True
165,6,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,7,9,1133.2142857142858,1357.2222222222222,224.0079365079364,1.2978119467523186,0.41149321356857405,-196.17429401786546,644.1901670337382,False
165,6,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,7,11,1133.2142857142858,1114.7727272727273,-18.441558441558527,-0.11136399650644478,0.998817979067341,-421.5657449075549,384.68262802443786,False
166,4,CONTROL/MEDIA__r4__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,10,12,1330.25,1506.25,176.0,1.1579660247675372,0.5229543909973885,-196.97554111604717,548.9755411160472,False
166,4,CONTROL/MEDIA__r4__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,10,8,1330.25,1359.375,29.125,0.17297308920128632,0.9963147191597739,-384.0660390931789,442.3160390931789,False
166,4,CONTROL/MEDIA__r4__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,10,10,1330.25,1022.75,-307.5,-1.9370194832771925,0.14812210639519574,-697.0602475577368,82.06024755773689,False
167,8,DREADD/CNO__r5__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r5__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,8,10,1195.625,1573.75,378.125,2.2539933112739194,0.07750723126062953,-33.94070449537293,790.190704495373,False
167,8,DREADD/CNO__r5__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r5__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,8,9,1195.625,1357.2222222222222,161.59722222222217,0.9403383940292337,0.6611689636172668,-260.5203424356449,583.7147868800893,False
