posthoc_rank,sensitivity_rank,n_removed,removed_cell_ids,removed_conditions,anova_pvalue,minimum_dunnett_adjusted_pvalue,significant_dunnett_conditions,has_significant_dunnett_contrast
107,156,5,CONTROL/MEDIA__r2__sNA | LMO7/hCTZ__r4__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA,EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.02552064580053859,0.09211840128669224,,False
108,287,7,DREADD/CNO__r3__sNA | DREADD/CNO__r8__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r9__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM,0.039328755869567536,0.09244942320773053,,False
109,227,7,DREADD/CNO__r1__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r5__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r3__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.03315309930203251,0.09337198990282447,,False
110,149,4,CONTROL/MEDIA__r2__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r4__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.025222630424228416,0.09435286035507184,,False
111,113,6,CONTROL/MEDIA__r6__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r6__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.02093438976476305,0.09467252828717465,,False
112,121,7,DREADD/CNO__r1__sNA | DREADD/CNO__r4__sNA | DREADD/CNO__r5__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM,0.022020328645800825,0.09506825336327873,,False
113,299,5,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.04036006113955797,0.09548868426878221,,False
114,22,8,DREADD/CNO__r3__sNA | DREADD/CNO__r4__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r6__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.01029172629773855,0.0954931344235248,,False
115,356,5,DREADD/CNO__r10__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r1__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM,0.04583840106957449,0.09571962172727788,,False
116,255,6,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r5__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM,0.036113546590048874,0.0972302144717685,,False
117,324,7,DREADD/CNO__r3__sNA | DREADD/CNO__r4__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r1__sNA | LMO7/hCTZ__r5__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM,0.04292702219846588,0.09753290043822938,,False
118,313,8,DREADD/CNO__r3__sNA | DREADD/CNO__r10__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r2__sNA | PSAM/uPSEM__r4__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.04227477891730067,0.0978875569253691,,False
119,343,3,CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r8__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM,0.044389124904345025,0.0987992609229954,,False
120,223,7,DREADD/CNO__r3__sNA | DREADD/CNO__r9__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r5__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.03279744695263233,0.09909068453470238,,False
121,202,6,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.02949539090589255,0.1013439467410645,,False
122,6,6,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.004605849631112834,0.10270426315855563,,False
123,64,7,CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.0153465744511585,0.10296779978816395,,False
124,293,8,DREADD/CNO__r4__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r1__sNA | LMO7/hCTZ__r3__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.03983748486544191,0.10454955106388075,,False
125,311,4,DREADD/CNO__r7__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM,0.04195386399167176,0.10535645348417999,,False
126,43,5,DREADD/CNO__r11__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.013468405330264074,0.1056937557708878,,False
127,323,5,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r5__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM,0.042926915775322365,0.10606122175781751,,False
128,233,8,DREADD/CNO__r1__sNA | DREADD/CNO__r3__sNA | DREADD/CNO__r4__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.03357993611470393,0.10890176855237022,,False
129,310,5,DREADD/CNO__r4__sNA | DREADD/CNO__r5__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM,0.041882423983816974,0.11009350145490793,,False
130,13,6,DREADD/CNO__r8__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.0077681574730201685,0.11039442142797828,,False
131,292,8,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r3__sNA | LMO7/hCTZ__r1__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.03977041499910151,0.11061162503646482,,False
132,51,5,CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r5__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.014108589201327633,0.11185374099754752,,False
133,305,6,DREADD/CNO__r3__sNA | DREADD/CNO__r5__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r7__sNA | LMO7/hCTZ__r4__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM,0.041003060027431565,0.11295400314006843,,False
134,38,8,DREADD/CNO__r7__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r7__sNA | LMO7/hCTZ__r2__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.01283193726296884,0.11383472720321575,,False
135,88,8,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r7__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.018226955592139243,0.11487448698292257,,False
136,339,8,DREADD/CNO__r7__sNA | DREADD/CNO__r10__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r6__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r1__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.04418909832481845,0.11628825113593999,,False
137,204,4,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r5__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM,0.029710366620998623,0.11690853811624213,,False
138,39,7,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r7__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.012948560863272637,0.11692726204189674,,False
139,114,8,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r6__sNA | LMO7/hCTZ__r6__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r11__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.02136588021048795,0.11698026117435367,,False
140,87,8,DREADD/CNO__r5__sNA | DREADD/CNO__r10__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r11__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.018002153553802695,0.11844247739596858,,False
141,89,7,DREADD/CNO__r3__sNA | DREADD/CNO__r8__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r3__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.018288011477400494,0.11907512277704124,,False
142,21,8,DREADD/CNO__r5__sNA | DREADD/CNO__r11__sNA | DREADD/CNO__r12__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.00998261456690288,0.1190857694815457,,False
143,320,8,DREADD/CNO__r7__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r6__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.042848515279993206,0.11936660453336567,,False
144,49,8,DREADD/CNO__r7__sNA | CONTROL/MEDIA__r3__sNA | LMO7/hCTZ__r3__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r7__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.01395267600113778,0.11940285701950082,,False
145,186,5,DREADD/CNO__r3__sNA | DREADD/CNO__r5__sNA | DREADD/CNO__r7__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | LMO7_hCTZ | PSAM_uPSEM,0.028327823087490576,0.11953294613230914,,False
146,15,8,CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r6__sNA | CONTROL/MEDIA__r8__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r5__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.008693634097340985,0.1198961058536705,,False
147,327,7,DREADD/CNO__r6__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.043166475976255766,0.12010899994260027,,False
148,238,8,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r8__sNA | PSAM/uPSEM__r4__sNA | PSAM/uPSEM__r5__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.03444733132764008,0.12048569824181588,,False
149,61,6,DREADD/CNO__r4__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r5__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.015269191760634267,0.12064216815915074,,False
150,294,4,DREADD/CNO__r6__sNA | CONTROL/MEDIA__r4__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.04012018211621633,0.12168896806960117,,False
151,188,6,DREADD/CNO__r2__sNA | LMO7/hCTZ__r4__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.02845205144575271,0.12215462918694542,,False
152,196,8,DREADD/CNO__r8__sNA | DREADD/CNO__r9__sNA | CONTROL/MEDIA__r11__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.029119445646441252,0.12303660635568014,,False
153,95,7,DREADD/CNO__r3__sNA | DREADD/CNO__r4__sNA | DREADD/CNO__r5__sNA | DREADD/CNO__r10__sNA | DREADD/CNO__r11__sNA | CONTROL/MEDIA__r9__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM,0.018737188371093685,0.1240436633019949,,False
154,159,6,CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r11__sNA,EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.025598127876973856,0.12504861354403318,,False
155,182,4,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r8__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.027887567600454983,0.12507362556464607,,False
156,300,5,CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r3__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM,0.04043327684825019,0.12533186531356566,,False
157,7,8,DREADD/CNO__r3__sNA | DREADD/CNO__r10__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r3__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.005511510804349986,0.12653397484321482,,False
158,18,6,DREADD/CNO__r9__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r3__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.009712263041962236,0.12687256160241966,,False
159,319,3,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r8__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM,0.04270443191120463,0.12701316287619147,,False
160,367,4,DREADD/CNO__r7__sNA | DREADD/CNO__r10__sNA | CONTROL/MEDIA__r8__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM,0.04653756727023797,0.12705171448907804,,False
161,84,4,PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r3__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.01768354709425294,0.1271524926496458,,False
162,55,6,DREADD/CNO__r2__sNA | DREADD/CNO__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r6__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.01462054863052572,0.1274925603743795,,False
163,132,4,CONTROL/MEDIA__r6__sNA | LMO7/hCTZ__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.023379779615724364,0.12832307646057273,,False
164,142,4,CONTROL/MEDIA__r3__sNA | LMO7/hCTZ__r2__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.024624270634519534,0.1284219245014525,,False
165,74,4,CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r5__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.016702301205163504,0.1286096980147169,,False
166,369,8,DREADD/CNO__r4__sNA | CONTROL/MEDIA__r6__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r9__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.04672070717505462,0.12881991759835631,,False
167,164,4,DREADD/CNO__r3__sNA | DREADD/CNO__r4__sNA | DREADD/CNO__r7__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | PSAM_uPSEM,0.025891864139820437,0.1308909523743954,,False
168,168,4,DREADD/CNO__r9__sNA | CONTROL/MEDIA__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.02612668455589974,0.1309998208944062,,False
169,146,4,CONTROL/MEDIA__r3__sNA | LMO7/hCTZ__r5__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.024918984601124194,0.1311010311655595,,False
170,390,8,DREADD/CNO__r3__sNA | DREADD/CNO__r9__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r6__sNA | PSAM/uPSEM__r6__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.0487128895022875,0.13189694238992744,,False
171,378,8,DREADD/CNO__r5__sNA | DREADD/CNO__r8__sNA | DREADD/CNO__r9__sNA | CONTROL/MEDIA__r2__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.04773312869481963,0.13215596300702392,,False
172,37,8,DREADD/CNO__r3__sNA | DREADD/CNO__r5__sNA | DREADD/CNO__r11__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r5__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r4__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.012709078882461271,0.13236684213712535,,False
173,215,4,DREADD/CNO__r3__sNA | DREADD/CNO__r4__sNA | DREADD/CNO__r5__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | PSAM_uPSEM,0.03173994684569533,0.13251294071738717,,False
174,50,7,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r9__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.014058595379707252,0.13291009706715307,,False
