posthoc_rank,sensitivity_rank,n_removed,removed_cell_ids,removed_conditions,anova_pvalue,minimum_dunnett_adjusted_pvalue,significant_dunnett_conditions,has_significant_dunnett_contrast
65,290,8,DREADD/CNO__r3__sNA | DREADD/CNO__r5__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r4__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM,0.039757622329749456,0.06555549246882231,,False
66,211,6,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r4__sNA | PSAM/uPSEM__r3__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.030694131936239172,0.06704284047808517,,False
67,395,7,DREADD/CNO__r3__sNA | DREADD/CNO__r4__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r8__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.0491513949429474,0.0679589645853883,,False
68,48,5,CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r6__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.013895848054906845,0.06886709579955164,,False
69,25,7,DREADD/CNO__r3__sNA | DREADD/CNO__r9__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r2__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r3__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.010825205138287268,0.06913971360432258,,False
70,85,8,DREADD/CNO__r7__sNA | DREADD/CNO__r11__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r9__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM,0.017784619420789457,0.06922106101337888,,False
71,303,7,DREADD/CNO__r5__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r3__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.04065071478077225,0.06961093944236263,,False
72,341,7,DREADD/CNO__r1__sNA | DREADD/CNO__r3__sNA | DREADD/CNO__r5__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r11__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.0442826832242952,0.06961701690724453,,False
73,264,8,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | DREADD/CNO__r9__sNA | DREADD/CNO__r11__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r5__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.03679969418789398,0.07208378363627099,,False
74,181,5,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM,0.027769011919434847,0.0721617957265055,,False
