radius_um,analysis_group,condition,replicate,sample_id,intersections,source_condition
145.0,Group I (Activation),DREADD_CNO,4,,5.0,DREADD/CNO
150.0,Group I (Activation),DREADD_CNO,4,,5.0,DREADD/CNO
155.0,Group I (Activation),DREADD_CNO,4,,4.0,DREADD/CNO
160.0,Group I (Activation),DREADD_CNO,4,,3.0,DREADD/CNO
165.0,Group I (Activation),DREADD_CNO,4,,2.0,DREADD/CNO
170.0,Group I (Activation),DREADD_CNO,4,,2.0,DREADD/CNO
175.0,Group I (Activation),DREADD_CNO,4,,1.0,DREADD/CNO
180.0,Group I (Activation),DREADD_CNO,4,,1.0,DREADD/CNO
10.0,Group I (Activation),DREADD_CNO,5,,2.0,DREADD/CNO
15.0,Group I (Activation),DREADD_CNO,5,,4.0,DREADD/CNO
20.0,Group I (Activation),DREADD_CNO,5,,5.0,DREADD/CNO
25.0,Group I (Activation),DREADD_CNO,5,,6.0,DREADD/CNO
30.0,Group I (Activation),DREADD_CNO,5,,7.0,DREADD/CNO
35.0,Group I (Activation),DREADD_CNO,5,,8.0,DREADD/CNO
40.0,Group I (Activation),DREADD_CNO,5,,6.0,DREADD/CNO
45.0,Group I (Activation),DREADD_CNO,5,,6.0,DREADD/CNO
50.0,Group I (Activation),DREADD_CNO,5,,6.0,DREADD/CNO
55.0,Group I (Activation),DREADD_CNO,5,,6.0,DREADD/CNO
60.0,Group I (Activation),DREADD_CNO,5,,6.0,DREADD/CNO
65.0,Group I (Activation),DREADD_CNO,5,,7.0,DREADD/CNO
70.0,Group I (Activation),DREADD_CNO,5,,7.0,DREADD/CNO
75.0,Group I (Activation),DREADD_CNO,5,,7.0,DREADD/CNO
80.0,Group I (Activation),DREADD_CNO,5,,7.0,DREADD/CNO
85.0,Group I (Activation),DREADD_CNO,5,,7.0,DREADD/CNO
90.0,Group I (Activation),DREADD_CNO,5,,7.0,DREADD/CNO
95.0,Group I (Activation),DREADD_CNO,5,,6.0,DREADD/CNO
